Gp1,Hfd,Tb1,Wd,VEC1,sVEC,Phase Formation
4.385,0.173799274,1934.98,0.136550036,4.385,1.744999998,BMG
9.39,0.74349307,3148.06,0.023473939,6.99,2.000000001,BMG
7.1885,0.159914237,3900.5975,0.069258814,5.2085,1.9405,BMG
7.5,0.132191636,3750.65,0.080228815,7.5,1.5,BMG
6.4,0.215964088,3830.75,0.107807645,6.4,1.8,BMG
4.7,0.200656539,1982.05,0.238937746,4.7,1.700000002,BMG
6.7,0.475028078,3381.95,0.233040836,4.2,1.999999999,BMG
10.68,0.535493817,3277.96,0.013599461,9.03,0.350000001,BMG
4.052,0.378695085,2182.394,0.167277102,4.052,2.000000002,BMG
7.36,0.110444625,3365.99,0.082525726,7.36,1.360000002,BMG
8.84,1.060382574,3614.33,0.042269449,6.74,1.820000003,BMG
5.17,0.240975527,3899.14,0.110126767,5.17,1.770000001,BMG
6.8,0.291711209,2473.6,0.225220194,3.2,0.9,BMG
3.3,0.126257142,3498.25,0.109324004,3.3,2,BMG
8.792,0.68370401,3458.3308,0.094501021,6.392,1.960000002,BMG
4.35,0.172539599,1949.45,0.138002516,4.35,1.750000002,BMG
9.605,1.258545392,2885.81,0.039573747,7.105,1.999999999,BMG
4.98,0.139639487,3701.695,0.116319399,4.98,1.889999999,BMG
4.0246,0.188699665,1599.8208,0.206822582,4.0246,1.924600002,BMG
8.048,0.183634692,3615.7228,0.097985909,6.976,1.558399997,BMG
3.875,0.111835111,1585.5,0.143222353,3.875,1.8,BMG
8.13,0.255145856,3567.06,0.078384802,7.43,1.5,BMG
5.105,0.837106377,3730.375,0.110499407,4.905,1.875,BMG
7.51,0.174098822,3270.65,0.093435146,6.81,1.769999998,BMG
4.575,0.154320702,1475.55,0.266333059,4.575,1.949999999,BMG
6.95,0.185407433,3251.25,0.08041568,4.45,1.899999999,BMG
8.52,1.039285318,3600.81,0.071297528,6.42,1.709999999,BMG
4.495,0.173955502,1993.36,0.139541467,4.495,1.734999999,BMG
4.35,0.173682749,1952.6,0.137561196,4.35,1.750000002,BMG
8.2,0.297627938,3519.95,0.125068583,8.2,1.399999997,BMG
