C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest ,UTS ,TE 
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,650,90,650,397,20.44
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,25,707,17.4
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,300,566,9.72
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,500,469,11.88
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,600,336,20.12
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,650,272,23.18
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,650,90,25,803,16.5
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,650,90,300,621,11.15
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,650,90,500,489,13.5
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,650,90,600,361,16.1
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,650,90,650,295,29.72
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,25,657,22.3
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,300,507,13.11
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,500,409,15.47
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,600,307,23.82
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,650,263,27.31
0.09,7.87,1.98,0.07,0.1,0.19,0.03,0,0,0.004,0.007,1040,38,750,60,25,638,17.6
0.12,8.93,1.07,0.06,0.47,0.2,0.14,0,0,0.009,0.018,980,27,760,90,25,676,15.9
0.12,8.93,1.1,0.04,0.44,0.19,0.14,0,0,0.009,0.017,979,111,739,222,25,676,16.9
0.09,7.7,1.95,0.11,0.16,0.16,0.02,0,0,0,0,1040,38,750,60,25,630,11.18
0.09,9,2,0.09,0.5,0.18,0.09,0,0,0,0,1030,30,750,60,25,606,15.4
0.12,8.95,2.01,0.23,0.51,0.24,0,0,0,0.01,0,1040,60,760,60,25,695,18
0.11,8.9,2.01,0.21,0.44,0.23,0.06,0,0,0.01,0,1040,60,760,60,25,702,20.2
0.09,7.87,1.98,0.07,0.1,0.19,0.03,0,0,0.04,0.007,1040,38,750,60,25,601,11.95
0.098,9.3,0.97,0.02,0.6,0.24,0,0,0,0,0.055,1050,120,750,120,25,586,17.3
0.12,8.91,1.08,0.04,0.48,0.2,0.14,0,0,0.006,0.02,980,30,760,90,25,640,18.1
0.1,8.72,2.09,0.23,0.43,0.23,0.07,0,0,0,0,1050,60,750,120,25,646,19.1
0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,25,644,20.5
0.12,8.91,1.08,0.04,0.48,0.2,0.14,0,0,0.006,0.02,980,30,760,90,325,533.5,14.1
0.1,8.72,2.09,0.23,0.43,0.23,0.07,0,0,0,0,1050,60,750,120,325,522,14.6
0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,325,511,14
0.12,8.73,2.09,0.25,0.51,0.25,0,0,0,0,0,1050,30,750,60,25,659,12.3
0.1,8.72,2.09,0.23,0.43,0.23,0.07,0,0,0,0,1050,30,750,60,25,652,12.3
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,25,679,25
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,300,554,14.7
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,500,454,15.8
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,550,397,17.35
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,600,348.8,20.3
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,650,267,22.6
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,25,702,27.56
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,300,572,15.45
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,500,466,16.67
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,550,415,18
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,600,352,21.2
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,650,282,24
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,25,672,29.37
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,300,541,19.36
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,500,435,20.27
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,550,375,22
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,600,334,24.7
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,650,250,27.43
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,25,617,31.4
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,300,487,20.3
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,500,395,22.4
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,550,345,23
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,600,296,25.3
0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.05,0.0029,1050,30,750,90,650,232,28
0.11,9.2,1.48,0.05,0.46,0.22,0.14,0,0,0,0.0154,1100,30,740,90,25,575,24
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.253,0,0.0153,1100,30,740,90,25,640,23.6
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0,0.255,0.093,0.0157,1100,30,740,90,25,700,16
0.11,9.2,1.48,0.05,0.46,0.22,0.14,0,0,0,0.0154,1100,30,740,90,650,234,22.3
0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.253,0,0.0153,1100,30,740,90,650,254,23.6
0.11,9.2,1.5,0.05,0.45,0.22,0.15,0,0.255,0.093,0.0157,1100,30,740,90,650,279,25
0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,25,838,22.1
0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,25,853,21.4
0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,25,760,23.51
0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,25,715,23.9
